index,originalLabel,correction
8,5,-1
193,9,-1
247,4,-1
324,0,-1
340,5,3or5
359,9,4or9
445,6,6or0
449,3,3or5
559,6,-1
582,8,-1
583,2,2or7
625,6,-1
726,7,3or7
902,4,4or9
947,8,8or9
956,1,1or5
1044,6,-1
1061,0,0or6
1114,3,3or8
1226,7,2or7
1260,7,1or7
1328,7,-1
1393,5,-1
1403,1,-1
1413,4,4or9
1494,7,-1
1527,1,-1
1637,5,-1
1654,2,-1
1671,7,-1
1737,5,-1
1773,1,-1
2074,4,-1
2109,3,-1
2130,4,4or9
2182,1,1or7
2266,1,-1
2454,6,6or0
2462,2,-1
2597,5,3or5
2654,6,-1
2836,4,-1
2930,5,-1
2995,6,6or0
3030,6,4or6
3073,1,1or7
3133,4,4or9
3236,7,1or7
3441,7,7or2
3552,5,-1
3558,5,-1
3604,7,-1
3856,9,-1
4000,9,8or9
4163,9,7or9
4193,6,4or6
4201,1,1or7
4439,6,4or6
4441,6,4or6
4504,2,2or7
4505,9,-1
4547,6,-1
4620,6,-1
5735,5,3or5
5937,5,3or5
6651,0,0or6
7413,4,-1
8246,3,-1
9210,6,4or6
9627,6,-1
9642,9,7or9
9679,6,-1
9698,6,-1
9850,0,0or6
